query,page,clicks,impressions,ctr,position
pet grooming equipment,https://example.com/collections/pet-grooming-equipment,111,25700,0.43%,5.6
high velocity dog dryer,https://example.com/collections/pet-grooming-dryers,69,14200,0.49%,5.7
dog grooming table,https://example.com/collections/dog-grooming-tables,132,18400,0.72%,6.8
mobile dog grooming equipment,https://example.com/collections/pet-grooming-equipment,21,6400,0.33%,16.7
electric dog grooming table,https://example.com/collections/dog-grooming-tables,61,8900,0.69%,8.4
professional pet grooming equipment,https://example.com/collections/pet-grooming-equipment,62,14500,0.43%,8.2
dog blow dryer for grooming,https://example.com/collections/pet-grooming-dryers,52,10800,0.48%,6.4
cordless dog grooming clippers,https://example.com/collections/professional-dog-clippers,28,6200,0.45%,12.4
portable dog grooming tub,https://example.com/collections/pet-grooming-bathtubs,25,4900,0.51%,11.6
grooming table for large dogs,https://example.com/collections/dog-grooming-tables,22,5900,0.37%,12.8
quiet dog grooming dryer,https://example.com/collections/pet-grooming-dryers,18,4300,0.42%,13.2
dog washing station for home,https://example.com/collections/pet-grooming-bathtubs,16,4800,0.33%,18.1
